id,value,color
Content,
Content.Gay,
Content.Gay.Adventure,3.9,#d40606
Content.Gay.RPG,3.4,#ee9c00
Content.Gay.Shooter,2.9,#e3ff00
Content.Gay.Simulation,5.0,#06bf00
Content.Gay.Action,3.8,#001a98
Content.Lesbian,
Content.Lesbian.Adventure,3,#8b3c69
Content.Lesbian.RPG,3.4,#bb7fb3
Content.Lesbian.Shooter,5.0,#edd2e8
Content.Lesbian.Simulation,3.2,#d67171
Content.Lesbian.Action,2.1,#864646
Content.Bisexual,
Content.Bisexual.Adventure,3.7,#ff0080	
Content.Bisexual.RPG,4.1,#ff0080
Content.Bisexual.Shooter,3.6,#a349a4
Content.Bisexual.Simulation,0.9,#0000ff
Content.Bisexual.Action,5.0,#0000ff
